key,연도,실제예산,시뮬예산,위험지수,Y,Y_bin,시도,시군구,diff
경기도포천시,2019,1279062000.0,182882539.93639517,-0.4485223550205047,0.059023340449461,1,경기도,포천시,-1096179460.0636048
경기도하남시,2019,129641000.0,152569150.2599409,-0.6129054042689719,0.009950330853168,1,경기도,하남시,22928150.259940892
경기도화성시,2019,130985000.0,132182883.11917019,-0.723455784518816,9.999500033330834e-05,1,경기도,화성시,1197883.119170189
경상남도거제시,2019,1276013620.0,559199678.3983225,1.592165254154353,0.1677154044045924,1,경상남도,거제시,-716813941.6016775
경상남도거창군,2019,115304810.0,262429746.30707896,0.1674464479927307,0.0,0,경상남도,거창군,147124936.30707896
경상남도고성군,2019,444436000.0,535099523.7842629,1.5351361299414894,0.0208804775793552,1,경상남도,고성군,90663523.7842629
경상남도김해시,2019,1138694070.0,363538916.59247005,0.8068470174714674,0.0935814136215305,1,경상남도,김해시,-775155153.40753
경상남도남해군,2019,209089000.0,515590337.4168222,1.5295909095861078,0.0132123314721348,1,경상남도,남해군,306501337.4168222
경상남도밀양시,2019,2690269770.0,373506824.4956481,0.7942103445611357,0.1590529298546003,1,경상남도,밀양시,-2316762945.504352
경상남도사천시,2019,820689000.0,412926464.8339,0.9624927917929118,0.2210613851098851,1,경상남도,사천시,-407762535.1661
경상남도산청군,2019,286710000.0,400275771.3999075,1.1701585083607051,0.000499875041651,1,경상남도,산청군,113565771.39990753
경상남도양산시,2019,549006360.0,344715789.9145512,0.5290186659342722,0.0843411484337508,1,경상남도,양산시,-204290570.0854488
경상남도의령군,2019,1155989000.0,426569465.1589038,1.0467879428793754,0.0410459694360009,1,경상남도,의령군,-729419534.8410962
경상남도진주시,2019,2826425000.0,405002125.12254614,0.9550911310216236,0.0989399478549035,1,경상남도,진주시,-2421422874.877454
경상남도창녕군,2019,914560310.0,398912962.8054119,0.8902460343046942,0.1765549618996175,1,경상남도,창녕군,-515647347.1945881
경상남도창원시,2019,2287695300.0,377084876.1783015,0.8056159655167053,0.128041349880884,1,경상남도,창원시,-1910610423.8216984
경상남도통영시,2019,718196860.0,526069954.3641523,1.412509824140624,0.0789035975954659,1,경상남도,통영시,-192126905.6358477
경상남도하동군,2019,1008987240.0,426721516.08384943,1.119553143168451,0.0948555310126788,1,경상남도,하동군,-582265723.9161506
경상남도함안군,2019,478874000.0,342184325.31839305,0.4965587012579311,0.1016536537264998,1,경상남도,함안군,-136689674.68160695
경상남도함양군,2019,47322000.0,291674536.3520991,0.3162025189020467,0.0001999800026662,1,경상남도,함양군,244352536.35209912
경상남도합천군,2019,186194030.0,451695325.14471364,1.158826643986541,0.0006997551142733,1,경상남도,합천군,265501295.14471364
