연도,시도,시군구,log_피해밀도_본per_ha,Y_bin,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,취약성지수_동일가중,취약성지수_실증가중
2017,경상북도,구미시,0.8027636268832683,1,0.5847698271449747,0.20851865968721314,-0.408035313150624,-0.3946186739041617,-0.002341375055649464,-0.09629179685176764
2018,경상북도,구미시,0.5163503344086906,1,0.5898378019120764,0.5608551686458324,-0.4339161192955113,-0.35970365492162104,0.0892682990851941,-0.08428607483713027
2019,경상북도,구미시,0.4347002333764993,1,0.5898378019120764,0.6387883801949068,-0.42492747419732146,-0.33471621101158683,0.11724562422451869,-0.0706933406149984
2020,경상북도,구미시,0.3949432806485822,1,0.6179781803704575,0.25432457453979945,-0.39383504104342315,-0.34657001975564944,0.03297442352779607,-0.0612460305608048
2021,경상북도,구미시,0.3385415227425896,1,0.6179781803704575,0.7478676039784056,-0.41640856728080033,-0.3248706754369927,0.1561416354077675,-0.055155496905966384
2022,경상북도,구미시,0.2799018851328186,1,0.6179781803704575,0.07356504993634025,-0.38600191631349745,-0.29981065491276365,0.001432664770134165,-0.039499394280056804
2023,경상북도,구미시,0.785042445264201,1,0.6215601981637672,0.585681600480181,-0.4620331166284023,-0.31535772181637667,0.10746274004979228,-0.06199618961841019
2016,경상북도,김천시,0.033628180979984,1,-0.13712025802382363,-0.5635813735916981,-1.3778158469951554,-0.4928414465726997,-0.6428397312958442,-0.6057924915769826
2017,경상북도,김천시,0.004191204618468,1,-0.13314807867838563,-0.6709133836468298,-0.10263212196430424,-0.48963273176821764,-0.3490815790144344,-0.28484525739706446
2018,경상북도,김천시,0.0030952049073024,1,-0.12694003054690622,-0.8010007678631698,0.6598233988354024,-0.5410153354324883,-0.20228318375179047,-0.11553304435164437
2019,경상북도,김천시,0.0054849302305696,1,-0.12694003054690622,-0.4852823731930699,0.6638779072792429,-0.5873569946397618,-0.13392537277512376,-0.1335276717975414
2020,경상북도,김천시,0.0071742037480003,1,-0.10404908019929153,-0.8786890825984068,0.6912197662605591,-0.5632856949597096,-0.2137010228742122,-0.11084336047747995
2021,경상북도,김천시,0.0220549907808313,1,-0.10404908019929153,-0.5730165745452217,0.6619774963281565,-0.5615018490643471,-0.14414750187017594,-0.11601820609232802
2022,경상북도,김천시,0.0130149370774946,1,-0.10404908019929153,-0.7947471623232211,0.7039822447798998,-0.5358937886198535,-0.18267694659061656,-0.09522200412418694
2023,경상북도,김천시,0.025472795973031,1,-0.09708185043185723,-0.8757152171149887,0.7253507311642879,-0.5200698067769527,-0.19187903578987767,-0.08114353642662536
2016,경상북도,문경시,9.999500033330834e-05,1,0.394886975828076,-0.6225019022969851,-2.6533731599895782,-0.8826671987612077,-0.9409138213049237,-0.9341449585105948
2017,경상북도,문경시,0.0,0,0.3991546379663428,0.43223129676453176,-0.22623651381573565,-0.845254713595037,-0.06002632316997453,-0.3049267329784517
2018,경상북도,문경시,0.0,0,0.40451737475496524,-0.1824879918813928,0.11613004108886305,-0.8383865107938284,-0.12505677170784824,-0.21738950827138848
2019,경상북도,문경시,0.0,0,0.40451737475496524,-0.23066511463644046,0.6638779072792429,-0.8267312301083424,0.0027497343223563397,-0.07553386548925983
2020,경상북도,문경시,0.0,0,0.4246839485367908,-0.2011158493634485,0.6912197662605591,-0.7965634406251993,0.029556106202175525,-0.049128757155642966
2021,경상북도,문경시,0.0,0,0.4246839485367908,0.04498014938601558,0.6619774963281565,-0.7868910830846729,0.08618762779157246,-0.05109369091076965
2022,경상북도,문경시,9.999500033330834e-05,1,0.4246839485367908,-0.21281442959021699,0.7039822447798998,-0.7744483892457339,0.035350843620184924,-0.03625315972027837
2023,경상북도,문경시,9.999500033330834e-05,1,0.42917222289943857,-0.12031038830237414,0.7253507311642879,-0.7388110546649319,0.07385037777410511,-0.013441925950195777
2016,경상북도,봉화군,9.999500033330834e-05,1,2.2356638118537986,-0.983428455370479,-2.4901546974531117,0.3427905802004064,-0.22378219019234644,0.206607710207372
2017,경상북도,봉화군,0.0,0,2.2409538621211613,-0.6606315172213402,-0.12104059009415044,0.25680173386593247,0.4290208721679008,0.7640687736376368
2018,경상북도,봉화군,0.0,0,2.243391771125216,-1.0168490255397467,-0.17363419696049026,0.2858900870608731,0.3346996589214631,0.7628978709129565
2019,경상북도,봉화군,0.0,0,2.243391771125216,-0.4058510899765448,-2.0683500466932454,0.2647571244215396,0.008486939719241346,0.2826137904115854
2020,경상북도,봉화군,0.0,0,2.2673174454040734,-1.1343188042523857,-1.8317633836789373,0.3088617254195537,-0.09747575427692398,0.36526516338302023
2021,경상북도,봉화군,0.0,0,2.2673174454040734,-0.5999140611700677,-1.9546814299308988,0.32686374077769176,0.00989642377019967,0.34482224456540034
2022,경상북도,봉화군,0.0,0,2.2673174454040734,-0.5030109166247321,-1.8462107586077035,0.3501016015277779,0.06704934292485396,0.38259899313247797
2023,경상북도,봉화군,0.0,0,2.2631665653771815,-0.3766395396177435,-1.8733575801155404,0.34379727652419795,0.08924168054202387,0.3723276211234233
2016,경상북도,상주시,0.0201947072855192,1,0.1388730419799185,0.4460037066749286,-1.3778158469951554,-0.48418646418953465,-0.3192813906324607,-0.5132586059002936
2017,경상북도,상주시,0.0105442138756711,1,0.1429985111039497,0.28083721390162164,-0.18976707948426189,-0.4954904798178097,-0.06535545857412506,-0.22069336242924814
2018,경상북도,상주시,0.0029955089797984,1,0.1487680308617517,0.1227201772105671,0.6598233988354024,-0.4814010113220144,0.1124776488964267,-0.0010295425467719277
2019,경상북도,상주시,0.0030952049073024,1,0.1487680308617517,0.188154991684635,0.6638779072792429,-0.5312121037375566,0.1173972065220183,-0.021657323406513773
2020,경상북도,상주시,0.0036931718376175,1,0.17283042012620128,-0.1464472825040751,0.6912197662605591,-0.5201369271144535,0.049366494192057964,-0.004077426088398478
2021,경상북도,상주시,0.0094551587707551,1,0.17283042012620128,0.34636089979253526,0.6619774963281565,-0.5137320369091356,0.1668591948344394,-0.006391058157431434
2022,경상북도,상주시,0.0093560949240249,1,0.17283042012620128,-0.013149714981471692,0.7039822447798998,-0.5039573222762205,0.08992640691210221,0.006825492021569013
2023,경상북도,상주시,0.0152826235311569,1,0.1784995052790515,-0.013592939653637032,0.7253507311642879,-0.4681186739595819,0.10553465570753014,0.02967526645859575
2016,경상북도,성주군,0.1578580846155803,1,0.6833186687837134,0.7697571600256722,-1.3778158469951554,-0.028005583488359485,0.01181359958146771,-0.14475989338173983
2017,경상북도,성주군,0.062880898039201,1,0.6877465291237186,0.20851865968721314,-2.146537502463472,-0.06715527072140406,-0.32935689609348606,-0.35530431997968825
2018,경상북도,성주군,0.0386436235922044,1,0.6926509740580563,0.5608551686458324,0.6598233988354024,-0.03716772361963183,0.4690404544799148,0.3625424693945065
2019,경상북도,성주군,0.0591176044830888,1,0.6926509740580563,0.6387883801949068,-1.196881741516978,-0.13915488807341095,-0.0011493188343564623,-0.14619172066224134
2020,경상북도,성주군,0.0485044090596149,1,0.7156860766236248,0.25432457453979945,-0.9788107206822421,-0.14201833514876472,-0.03770460116689561,-0.08760024037311631
2021,경상북도,성주군,0.0429636994321156,1,0.7156860766236248,0.7478676039784056,-1.2144108785381271,-0.1650116092828183,0.021032798195271242,-0.15444331295836392
2022,경상북도,성주군,0.0773313429363234,1,0.7156860766236248,0.07356504993634025,-1.1240253952832302,-0.2496924109475833,-0.1461166699177121,-0.17210841131360183
2023,경상북도,성주군,0.1215094173971972,1,0.7188099926825182,0.585681600480181,-1.1393279627527477,-0.21384937443890345,-0.012171436007237982,-0.15693724184869803
2016,경상북도,안동시,0.4878435473740665,1,2.065075623334027,-0.008561508597629275,0.38376925236808673,0.283493033113083,0.6809441000543919,0.8512059863464587
2017,경상북도,안동시,0.3741120304501421,1,2.070270927005554,0.5733526961926741,-0.27154647779181473,0.22214076803373267,0.6485544783600364,0.6645221620506879
2018,경상북도,안동시,0.1875578235892009,1,2.072979885201307,-0.4473484203261289,-0.29050199134725047,0.10549724311630507,0.3601566791610582,0.6047463097504582
2019,경상북도,안동시,0.192601866201511,1,2.072979885201307,-0.1732602072688352,-0.29646515582648275,0.11155189246471489,0.428701603642676,0.6071320322867305
2020,경상북도,안동시,0.1710920748424058,1,2.218912085976935,-0.6397176264176564,-0.17764661549772903,0.09188421753259793,0.37335801539853686,0.670671381499822
2021,경상북도,안동시,0.1649210421137872,1,2.218912085976935,-0.03975114787686046,-0.013808278457832696,0.0880936784377419,0.5633615845199959,0.7126125139344667
2022,경상북도,안동시,0.1516045841318941,1,2.218912085976935,-0.6507125397030156,0.7039822447798998,0.027381206117575524,0.5748907492928487,0.862631097978047
2023,경상북도,안동시,0.3886579897917831,1,2.214988153617109,-0.2339644791808504,0.13039038019914087,0.06354048960294151,0.5437386360595853,0.7357961019967632
2016,경상북도,영덕군,0.047646653467353,1,1.6944936636342869,-0.4206643021883398,0.38376925236808673,0.6584244383021595,0.5790057630290483,0.9013154180790718
2017,경상북도,영덕군,0.0150856374180408,1,1.6994831419232692,-0.2601879069114533,-0.06942896482971325,0.6916215352469217,0.5153719513572561,0.8048639033547988
2018,경상북도,영덕군,0.0134096869099176,1,1.7027809213117804,-0.7141100056553582,-0.21410616674775168,0.4736461146144181,0.3120527158807721,0.6717275254007135
2019,경상북도,영덕군,0.0122249696225689,1,1.7027809213117804,0.006558483043428778,-0.2210613066833187,0.47021820851699325,0.48962407654722095,0.6716631608520433
2020,경상북도,영덕군,0.0056838164682976,1,1.8913367851000795,-1.0623606015360818,-0.13697128008129078,0.5376389293429957,0.30741095820642567,0.7752150079257876
2021,경상북도,영덕군,0.017348638334613,1,1.8913367851000795,-0.3248440071406137,-0.15432025771607705,0.47843481592491177,0.4726518340420751,0.7480698603151712
2022,경상북도,영덕군,0.0281986543586787,1,1.8913367851000795,-0.7101107700088143,0.7039822447798998,0.5011578817805478,0.5965915354129282,0.9709478763351256
2023,경상북도,영덕군,0.0362354925820954,1,1.8889486837143934,-0.7555213949219785,0.7253507311642879,0.5373695746485876,0.5990368986513226,0.9913033080386525
2016,경상북도,영양군,0.0,0,1.8845767423775626,-0.4206643021883398,-0.7543758308582278,0.1799277948127355,0.2223661010359326,0.46414421561434915
2017,경상북도,영양군,0.0,0,1.8896717949433643,-0.2601879069114533,-0.14916420730927196,0.21380782628902417,0.4235318767529158,0.6326280714665966
2018,경상북도,영양군,0.0,0,1.8926675495240854,-0.7141100056553582,0.6598233988354024,0.08106645274087336,0.4798618488612508,0.7753419248134314
2019,경상북도,영양군,0.0,0,1.8926675495240854,0.006558483043428778,0.6638779072792429,0.03692974602539109,0.6500084214680371,0.7601069910196947
2020,경상북도,영양군,0.0,0,1.9108002571418685,-1.0623606015360818,0.6912197662605591,0.07947177246556436,0.4047827985829775,0.7864865735976843
2021,경상북도,영양군,0.0,0,1.9108002571418685,-0.3248440071406137,0.6619774963281565,0.09731034235404167,0.5863110221708633,0.790287907827482
2022,경상북도,영양군,0.0,0,1.9108002571418685,-0.7101107700088143,0.7039822447798998,0.1204676520459824,0.5062848459897341,0.8092826711256152
2023,경상북도,영양군,0.0,0,1.9083209016135587,-0.7555213949219785,0.7253507311642879,0.1563646566519657,0.5086287236269584,0.8294716933619458
2016,경상북도,영주시,0.0106431600984798,1,0.9275471989797361,-1.0515773988995494,0.38376925236808673,-0.7662178611560441,-0.12661970217694263,0.037140865746971174
2017,경상북도,영주시,0.00129915573162,1,0.9321107065884227,-0.09861622945330101,-0.15232677561568822,-0.7470103344761092,-0.01646065823916895,-0.08282349198550978
2018,경상북도,영주시,0.000499875041651,1,0.9366270944932926,-0.5439158577054828,0.6598233988354024,-0.7587553863006272,0.07344481233064629,0.11445475834368507
2019,경상북도,영주시,0.0003999200213269,1,0.9366270944932926,-0.7002734853693192,0.6638779072792429,-0.7476901857913789,0.03813533265295935,0.1196493657673855
2020,경상북도,영주시,0.0002999550089979,1,0.9732498753024398,-0.9684210143831578,0.6912197662605591,-0.6995232169402874,-0.0008686474401115585,0.1576881518478474
2021,경상북도,영주시,0.0030952049073024,1,0.9732498753024398,-0.29964811691103466,0.6619774963281565,-0.6758402220481956,0.16493475816784148,0.16375894491390086
2022,경상북도,영주시,0.0120273802127184,1,0.9732498753024398,-0.5732001017555436,0.7039822447798998,-0.664820216003652,0.10980295058078599,0.17790349511334008
2023,경상북도,영주시,0.0080673710777587,1,0.9751662080705022,-0.08468100740213105,0.7253507311642879,-0.6436689959871512,0.243041733961377,0.19530108844220534
2016,경상북도,영천시,0.0117309228756986,1,1.1704908147471977,-0.23111543246725388,-2.4513446225339126,0.318513882980952,-0.2983638393182542,-0.11626214557443951
2017,경상북도,영천시,0.000499875041651,1,1.1751892559686608,-0.1544407940761953,-2.079086809078098,0.19142111779591506,-0.2167293073474294,-0.07737999376381546
2018,경상북도,영천시,0.001199280575482,1,1.1793196284567926,-0.3321862592464046,-2.2090636648461324,0.15706573120555795,-0.30121614110754663,-0.12452412183873847
2019,경상북도,영천시,0.0021975835434872,1,1.1793196284567926,0.09380906523122184,-2.0591915013499484,0.17502737054195378,-0.15275885927999505,-0.07726617555592889
2020,경상북도,영천시,0.0028958031120255,1,1.2141261743619118,-0.5725391642829707,-1.9091514156327485,0.22115432493446796,-0.26160252015483487,-0.011764606252446227
2021,경상북도,영천시,0.004191204618468,1,1.2141261743619118,0.0766909109140409,-2.1150382004209223,0.2391648699856574,-0.14626406128982805,-0.05243870041908584
2022,경상북도,영천시,0.0084640784121294,1,1.2141261743619118,-0.6896120136834895,-2.0385547749445276,0.21098740655073953,-0.3257633019288414,-0.04910884718466009
2023,경상북도,영천시,0.0088606284321965,1,1.2149131628844183,-0.32827746045528783,-2.0954283335438784,0.08281807906677754,-0.28149363801199256,-0.11792020586361304
2016,경상북도,예천군,0.0007996801705643,1,0.3849341550494637,-0.6225019022969851,-0.8622611607783098,-0.7666526556597953,-0.4666203909214066,-0.4383275911048423
