연도,시도,시군구,log_피해밀도_본per_ha,Y_bin,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,구조적취약성지수,위험지수,연속발생연수_L1,집단발생여부_L1,log_인접시군_피해밀도_본per_ha_L1,key,구조적취약성지수_gm,연속발생연수_L1_gm,집단발생여부_L1_gm,log_인접시군_피해밀도_본per_ha_L1_gm,Model2_예측확률,_decile
2017,경기도,의정부시,9.999500033330834e-05,1,-1.014087840786147,0.0524317384904582,0.711348555417926,0.0406677690285158,-0.0524099444623118,-0.3069961110890578,1.0,0.0,0.1142211440900228,경기도의정부시,-0.09475982026285205,0.42857142857142855,0.0,0.04992267023575694,0.08349039576979268,4
2018,경기도,의정부시,0.0,0,-1.0064808361023183,0.1564008612849994,0.6598233988354029,0.0660892878386662,-0.0310418220358125,-0.2613302289928843,2.0,0.0,0.0413338634929772,경기도의정부시,-0.09475982026285205,0.42857142857142855,0.0,0.04992267023575694,0.09482674388442412,4
2019,경기도,의정부시,0.0,0,-1.0064808361023183,-0.1342790210095311,0.6638779072792427,0.1571594148892967,-0.0799306337358275,-0.3278668140741843,0.0,0.0,0.0303351997960729,경기도의정부시,-0.09475982026285205,0.42857142857142855,0.0,0.04992267023575694,0.10196637854819474,4
2020,경기도,의정부시,0.0,0,-0.9978172049729178,-0.0249619559950471,0.6912197662605586,-0.1552138148625611,-0.1216933023924919,-0.392664325276842,0.0,0.0,0.0319830458530507,경기도의정부시,-0.09475982026285205,0.42857142857142855,0.0,0.04992267023575694,0.10794957704568499,4
2021,경기도,의정부시,0.0,0,-0.9978172049729178,-0.2401644576979121,0.661977496328156,-0.137441095827298,-0.178361315542493,-0.4584742528327093,0.0,0.0,0.0667236320429081,경기도의정부시,-0.09475982026285205,0.42857142857142855,0.0,0.04992267023575694,0.10929071539285914,4
2022,경기도,의정부시,0.0,0,-0.9978172049729178,0.599670270139042,0.7039822447798993,-0.3122029107796501,-0.0015919002084066,-0.2367832818711753,0.0,0.0,0.0239118200463128,경기도의정부시,-0.09475982026285205,0.42857142857142855,0.0,0.04992267023575694,0.09215326043925601,4
2023,경기도,의정부시,0.0,0,-0.9978172049729178,-0.2371722677826537,0.7311373456691725,-0.2893071667640861,-0.1982898234626212,-0.5080988798398859,0.0,0.0,0.0409499863289541,경기도의정부시,-0.09475982026285205,0.42857142857142855,0.0,0.04992267023575694,0.11833507600760228,5
2017,경기도,이천시,0.0014988761237358,1,-1.2326130013400984,0.0960046598759351,-0.3318515498129437,-1.3644430430534595,-0.7082257335826416,-0.8336837948392076,1.0,0.0,0.244748475066594,경기도이천시,-0.7395430478904356,4.0,0.42857142857142855,0.12084126765928639,0.9772606718680301,8
2018,경기도,이천시,0.0007996801705643,1,-1.2246589726957675,0.0550863291067343,-0.4699074359636503,-1.3278191257893477,-0.7418248013355079,-0.8324639231261269,2.0,1.0,0.1526352464235942,경기도이천시,-0.7395430478904356,4.0,0.42857142857142855,0.12084126765928639,0.9967877255753496,8
2019,경기도,이천시,0.0009995003330835,1,-1.2246589726957675,0.0243046925138754,-0.4752947869348405,-1.3886102638762912,-0.766064832748256,-0.8629881813527277,3.0,0.0,0.1250454889742244,경기도이천시,-0.7395430478904356,4.0,0.42857142857142855,0.12084126765928639,0.984392114354316,8
2020,경기도,이천시,0.0006997551142733,1,-1.2287295573906063,0.2786267799805461,-0.4792523441783376,-1.463014379895884,-0.7230923753710704,-0.804372385768648,4.0,1.0,0.1321679635774172,경기도이천시,-0.7395430478904356,4.0,0.42857142857142855,0.12084126765928639,0.9969084255421929,8
2021,경기도,이천시,0.0027960873020012,1,-1.2287295573906063,0.0358972396491273,-0.4135483562865433,-1.4819306061533664,-0.7720778200453472,-0.8915876412982818,5.0,0.0,0.1144887264846979,경기도이천시,-0.7395430478904356,4.0,0.42857142857142855,0.12084126765928639,0.9852327057184557,8
2022,경기도,이천시,0.00129915573162,1,-1.2287295573906063,0.4931516586963427,-0.5178458797251975,-1.494769321551676,-0.6870482749927842,-0.7434490734153133,6.0,1.0,0.0366211834556453,경기도이천시,-0.7395430478904356,4.0,0.42857142857142855,0.12084126765928639,0.9974116345526944,8
2023,경기도,이천시,0.0033942330680155,1,-1.2287295573906063,0.1727534253307793,-0.5504496834331887,-1.5074441731367496,-0.7784674971574412,-0.8544734350655254,7.0,0.0,0.0401817896328318,경기도이천시,-0.7395430478904356,4.0,0.42857142857142855,0.12084126765928639,0.9878674469749932,8
2020,경기도,파주시,0.0,0,-1.255570994159733,-0.2026336735917091,-0.4379477922611205,-1.2129881203514792,-0.7772851450910105,-0.890397596034307,1.0,0.0,0.000899595242836,경기도파주시,-0.8024977735754389,1.0,0.0,0.0006747164141424021,0.17381781179040784,5
2021,경기도,파주시,0.0001999800026662,1,-1.255570994159733,-0.3753416858157649,-0.6533851035933409,-1.1891363693500434,-0.8683585382297205,-0.9400163497751804,0.0,0.0,0.000899595242836,경기도파주시,-0.8024977735754389,1.0,0.0,0.0006747164141424021,0.19414088733279575,5
2022,경기도,파주시,0.000499875041651,1,-1.255570994159733,0.2359351080137601,-0.5841680205687859,-1.202084661742656,-0.7014721421143537,-0.7405735159628763,1.0,0.0,9.999500033330834e-05,경기도파주시,-0.8024977735754389,1.0,0.0,0.0006747164141424021,0.15718159413775007,5
2023,경기도,파주시,0.0003999200213269,1,-1.255570994159733,-0.4704881292323676,-0.5467919486218769,-1.1786500034527063,-0.862875268866671,-0.9682363756149356,2.0,0.0,0.0007996801705643,경기도파주시,-0.8024977735754389,1.0,0.0,0.0006747164141424021,0.19638986389715693,5
2017,경기도,평택시,0.0020977980821461,1,-1.2268592887653549,0.6386258965657722,-0.4597234567306418,-1.2039756280271725,-0.5629831192393492,-0.5974030067422517,1.0,0.0,0.0057832447557273,경기도평택시,-0.6959946740498397,1.8571428571428572,0.14285714285714285,0.0029364434903729,0.5142635344385054,6
2018,경기도,평택시,0.0002999550089979,1,-1.2189143971747174,-0.0701306999415991,-0.532634413057087,-1.1704057577182378,-0.7480213169729104,-0.8198169516115182,2.0,1.0,0.0047885167317971,경기도평택시,-0.6959946740498397,1.8571428571428572,0.14285714285714285,0.0029364434903729,0.8884329746000926,7
2019,경기도,평택시,0.0001999800026662,1,-1.2189143971747174,-0.1478030349212727,-0.5071330670792288,-1.1999721327017905,-0.7684556579692523,-0.8555631882659268,3.0,0.0,0.0040916179032535,경기도평택시,-0.6959946740498397,1.8571428571428572,0.14285714285714285,0.0029364434903729,0.6023637198799132,6
2020,경기도,평택시,0.0,0,-1.1744028271307974,0.0029975817513372,-0.4520897439072371,-1.084954674986108,-0.6771124160682014,-0.7521199734551894,4.0,0.0,0.0038924147153438,경기도평택시,-0.6959946740498397,1.8571428571428572,0.14285714285714285,0.0029364434903729,0.5695095410219879,6
2021,경기도,평택시,0.0027960873020012,1,-1.1744028271307974,-0.1452854663273057,-0.4480524741808792,-1.205118920651462,-0.743214922072611,-0.8416024047031883,0.0,0.0,0.0006997551142733,경기도평택시,-0.6959946740498397,1.8571428571428572,0.14285714285714285,0.0029364434903729,0.5860758428444807,6
2022,경기도,평택시,0.004987541511039,1,-1.1744028271307974,0.5466517325462844,-0.4068358363002614,-1.2374100242136454,-0.5679992387746049,-0.6217203729327195,1.0,0.0,0.0007996801705643,경기도평택시,-0.6959946740498397,1.8571428571428572,0.14285714285714285,0.0029364434903729,0.5190639924647721,6
2023,경기도,평택시,0.004489905272852,1,-1.1744028271307974,-0.4205613347807108,-0.4075695223191988,-1.214170504777088,-0.8041760472519487,-0.936378222229532,2.0,0.0,0.000499875041651,경기도평택시,-0.6959946740498397,1.8571428571428572,0.14285714285714285,0.0029364434903729,0.6152685253521066,6
2017,경기도,포천시,0.0615653556581548,1,-0.344823581405261,0.0524317384904582,-0.3002108741220709,-0.3771242677006113,-0.2424317461843712,-0.2231720368718047,1.0,1.0,0.0511682865743994,경기도포천시,-0.26353708284375743,4.0,0.8571428571428571,0.022283871222977484,0.9995074560068384,9
2018,경기도,포천시,0.0613772796749034,1,-0.3382793867581525,0.1564008612849994,-0.3587805742291837,-0.3429150931022952,-0.220893548201158,-0.1749312061918161,2.0,1.0,0.0219571673520421,경기도포천시,-0.26353708284375743,4.0,0.8571428571428571,0.022283871222977484,0.9995276819660758,9
2019,경기도,포천시,0.059023340449461,1,-0.3382793867581525,-0.1342790210095311,-0.4518547115689428,-0.3940113876973778,-0.3296061267585011,-0.2888565984883538,3.0,1.0,0.0120273802127184,경기도포천시,-0.26353708284375743,4.0,0.8571428571428571,0.022283871222977484,0.9996167510818114,9
2020,경기도,포천시,0.0960371881969421,1,-0.2328943097080325,-0.0249619559950471,-0.4061580074735735,-0.3448291836542664,-0.2522108642077299,-0.200895149785782,4.0,1.0,0.0133110140596723,경기도포천시,-0.26353708284375743,4.0,0.8571428571428571,0.022283871222977484,0.9995695132112236,9
2021,경기도,포천시,0.0303351997960729,1,-0.2328943097080325,-0.2401644576979121,-0.4739868733193113,-0.4074681514063721,-0.338628448032907,-0.2935089729374389,5.0,1.0,0.0316924467324897,경기도포천시,-0.26353708284375743,4.0,0.8571428571428571,0.022283871222977484,0.9996142826893734,9
2022,경기도,포천시,0.0983056887841233,1,-0.2328943097080325,0.599670270139042,-0.4275610180986926,-0.4309758778324434,-0.1229402338750316,-0.0213999724671446,6.0,1.0,0.0116320842297076,경기도포천시,-0.26353708284375743,4.0,0.8571428571428571,0.022283871222977484,0.9994836789536892,9
2023,경기도,포천시,0.149109422587841,1,-0.2328943097080325,-0.2371722677826537,-0.4300593564513517,-0.4520685166443743,-0.3380486126466031,-0.3073783647116869,7.0,0.0,0.0141987193998129,경기도포천시,-0.26353708284375743,4.0,0.8571428571428571,0.022283871222977484,0.9980059325989393,8
2017,경기도,하남시,0.0677521020508184,1,-1.1871628871736717,0.4944529949088515,-0.5014374797567704,-0.6809033972488403,-0.4687626923176077,-0.4578710965045535,1.0,1.0,0.2726953301434575,경기도하남시,-0.5550006038796279,4.0,0.8571428571428571,0.1332919675951776,0.9989273104016481,8
2018,경기도,하남시,0.0037927982386962,1,-1.1792810345597045,0.0847911984516939,-0.5561704813217707,-0.654637524981514,-0.5763244606028238,-0.5830424536965082,2.0,1.0,0.1607573788781141,경기도하남시,-0.5550006038796279,4.0,0.8571428571428571,0.1332919675951776,0.9993054305437236,8
2019,경기도,하남시,0.009950330853168,1,-1.1792810345597045,-0.1048780248097556,-0.5977493106874628,-0.5673953119673825,-0.6123259205060764,-0.6171847904456141,3.0,1.0,0.128393214768399,경기도하남시,-0.5550006038796279,4.0,0.8571428571428571,0.1332919675951776,0.9993972225443313,9
2020,경기도,하남시,0.004987541511039,1,-1.1582430789225655,-0.0357736974842993,-0.6061610742641744,-0.5193257709523045,-0.579875905405836,-0.5711141824530565,4.0,1.0,0.1316421090517151,경기도하남시,-0.5550006038796279,4.0,0.8571428571428571,0.1332919675951776,0.9993675094938562,9
2021,경기도,하남시,0.0077697372643606,1,-1.1582430789225655,-0.1137687574494563,-0.5974179097558996,-0.5037357083648211,-0.5932913636231857,-0.5919158482456144,5.0,1.0,0.1412391116927246,경기도하남시,-0.5550006038796279,4.0,0.8571428571428571,0.1332919675951776,0.9993748508163428,9
