연도,시도,시군구,피해본수_당해연도,전년도_피해본수,행정구역면적_ha,피해밀도_본per ha,최근3년_피해증가율(%),연속발생연수,인접시군_피해밀도_본per ha,인접시군_산정방식,소나무류_면적_ha,산림면적_ha,소나무류_면적비율(%),소나무류_면적_산정방식,최근감염목과의_거리_km,집단발생여부,데이터유형
2020,경상북도,포항시,11490,12618,113008.0,0.1017,25.24,8,0.1012,SGIS실제인접,21255.5,75314.3,28.22,보간(2019/2025 실측 anchor),21.05,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,경상북도,포항시,9847,11490,113008.0,0.0871,3.65,9,0.0867,SGIS실제인접,21343.3,75516.8,28.26,보간(2019/2025 실측 anchor),21.05,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,경상북도,포항시,8576,9847,113008.0,0.0759,-12.05,10,0.0755,SGIS실제인접,21431.4,75719.8,28.3,보간(2019/2025 실측 anchor),21.05,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,경상북도,포항시,7820,8576,113008.0,0.0692,-12.01,11,0.0689,SGIS실제인접,21519.9,75923.4,28.34,보간(2019/2025 실측 anchor),21.05,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,경상북도,포항시,6971,7820,113008.0,0.0617,-10.86,12,0.0614,SGIS실제인접,21608.8,76127.5,28.38,보간(2019/2025 실측 anchor),21.05,0,추정(최근추세 외삽)
2025,경상북도,포항시,6214,6971,113008.0,0.055,-10.18,13,0.0547,SGIS실제인접,21698.0,76332.2,28.43,실측(임상도overlay),21.05,0,추정(최근추세 외삽)
2016,전라남도,광양시,1843,1265,45889.0,0.0402,,2,0.0443,SGIS실제인접,5997.9,26636.5,22.52,외삽(2019/2025 실측 anchor),95.26,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,전라남도,광양시,2512,1843,45889.0,0.0547,,3,0.0604,SGIS실제인접,6004.1,26656.8,22.52,외삽(2019/2025 실측 anchor),171.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,전라남도,광양시,3899,2512,45889.0,0.085,,4,0.0938,SGIS실제인접,6010.3,26677.2,22.53,외삽(2019/2025 실측 anchor),171.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,전라남도,광양시,5307,3899,45889.0,0.1157,42.54,5,0.1276,SGIS실제인접,6016.4,26697.7,22.54,실측(임상도overlay),171.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,전라남도,광양시,4679,5307,45889.0,0.102,26.5,6,0.1125,SGIS실제인접,6022.6,26718.1,22.54,보간(2019/2025 실측 anchor),171.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,전라남도,광양시,4031,4679,45889.0,0.0878,3.47,7,0.0969,SGIS실제인접,6028.8,26738.6,22.55,보간(2019/2025 실측 anchor),171.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,전라남도,광양시,3555,4031,45889.0,0.0775,-12.5,8,0.0855,SGIS실제인접,6035.0,26759.0,22.55,보간(2019/2025 실측 anchor),171.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,전라남도,광양시,3160,3555,45889.0,0.0689,-12.26,9,0.076,SGIS실제인접,6041.2,26779.5,22.56,보간(2019/2025 실측 anchor),171.99,0,공식통계 기반(2023 스냅샷 비중 고정)
