year,sigungu_cd,sigungu_nm,sido,sigungu_full_nm,log_resource_budget_per_pine_ha,log_surveillance_budget_per_pine_ha,log_movement_budget_per_pine_ha,resource_local_budget,surveillance_local_budget,movement_local_budget,included_local_budget,surveillance_share,movement_share_included_budget,prev_infected_sites,current_infected_sites,recurrent_sites_300m,recurrence_rate_300m,pine_area_ha_2024,pine_area_positive,pine_area_observed,budget_observed,budget_missing_reason
2016,44150,공주시,충청남도,충청남도 공주시,9.939677467842737,9.33418789429252,0.0,160816000.0,87771000.0,0.0,248587000.0,0.353079606,0.0,,0,,,7755.380725,1,1,1,observed
2016,44180,보령시,충청남도,충청남도 보령시,10.65854146207352,0.0,0.0,455447000.0,0.0,0.0,455447000.0,0.0,0.0,,1,,,10702.92074,1,1,1,observed
2016,44200,아산시,충청남도,충청남도 아산시,11.364433721814844,0.0,0.0,264258000.0,0.0,0.0,264258000.0,0.0,0.0,,0,,,3065.648277,1,1,1,observed
2016,44210,서산시,충청남도,충청남도 서산시,9.302231898475048,0.0,0.0,115652000.0,0.0,0.0,115652000.0,0.0,0.0,,0,,,10550.78524,1,1,1,observed
2016,44230,논산시,충청남도,충청남도 논산시,12.03756562432026,0.0,0.0,529107000.0,0.0,0.0,529107000.0,0.0,0.0,,0,,,3131.105861,1,1,1,observed
2016,44250,계룡시,충청남도,충청남도 계룡시,9.983893028401326,0.0,0.0,15298000.0,0.0,0.0,15298000.0,0.0,0.0,,0,,,705.8380135,1,1,1,observed
2016,44270,당진시,충청남도,충청남도 당진시,10.420430949308605,0.0,0.0,192026000.0,0.0,0.0,192026000.0,0.0,0.0,,0,,,5725.815168,1,1,1,observed
2016,44710,금산군,충청남도,충청남도 금산군,10.855849551530104,0.0,0.0,281130000.0,0.0,0.0,281130000.0,0.0,0.0,,0,,,5423.504617,1,1,1,observed
2016,44760,부여군,충청남도,충청남도 부여군,10.307075172599442,0.0,0.0,158880000.0,0.0,0.0,158880000.0,0.0,0.0,,0,,,5306.12972,1,1,1,observed
2016,44770,서천군,충청남도,충청남도 서천군,10.8810408267592,0.0,0.0,272494000.0,0.0,0.0,272494000.0,0.0,0.0,,0,,,5126.124212,1,1,1,observed
2016,44790,청양군,충청남도,충청남도 청양군,10.110002805205784,0.0,0.0,191652000.0,0.0,0.0,191652000.0,0.0,0.0,,0,,,7794.936628,1,1,1,observed
2016,44800,홍성군,충청남도,충청남도 홍성군,9.869997041888748,0.0,0.0,108646000.0,0.0,0.0,108646000.0,0.0,0.0,,0,,,5617.601716,1,1,1,observed
2016,44810,예산군,충청남도,충청남도 예산군,10.10244024707946,0.0,0.0,133275000.0,0.0,0.0,133275000.0,0.0,0.0,,0,,,5461.757776,1,1,1,observed
2016,44825,태안군,충청남도,충청남도 태안군,10.378102570466746,0.0,0.0,423780000.0,0.0,0.0,423780000.0,0.0,0.0,,0,,,13182.60646,1,1,1,observed
2016,45111,전주시 완산구,전라북도,전라북도 전주시 완산구,,,,,,,,,,,0,,,379.4364065,1,1,0,city_district_granularity
2016,45113,전주시 덕진구,전라북도,전라북도 전주시 덕진구,,,,,,,,,,,0,,,101.5586028,1,1,0,city_district_granularity
2016,45130,군산시,전라북도,전라북도 군산시,13.173722255601216,0.0,0.0,1200218772.0,0.0,0.0,1200218772.0,0.0,0.0,,1,,,2280.270446,1,1,1,observed
2016,45140,익산시,전라북도,전라북도 익산시,11.37345785662956,0.0,0.0,187780000.0,0.0,0.0,187780000.0,0.0,0.0,,29,,,2158.859308,1,1,1,observed
2016,45180,정읍시,전라북도,전라북도 정읍시,9.338129513387932,0.0,0.0,109804000.0,0.0,0.0,109804000.0,0.0,0.0,,0,,,9664.029867,1,1,1,observed
2016,45190,남원시,전라북도,전라북도 남원시,8.140759970540689,0.0,0.0,67199000.0,0.0,0.0,67199000.0,0.0,0.0,,6,,,19588.54846,1,1,1,observed
2016,45210,김제시,전라북도,전라북도 김제시,11.705501101035583,0.0,0.0,264163000.0,0.0,0.0,264163000.0,0.0,0.0,,1,,,2178.918741,1,1,1,observed
2016,45710,완주군,전라북도,전라북도 완주군,10.04631231837083,0.0,0.0,119312000.0,0.0,0.0,119312000.0,0.0,0.0,,0,,,5171.838413,1,1,1,observed
