시도,시군구,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,구조적취약성지수,노출도_점수_기여,기후위험도_점수_기여,지자체대응역량_점수_기여,인위적확산_점수_기여,배분갭,축A_위험요인유형,축B_배분적정성
경상남도,함양군,0.7965178455201504,0.07909979787357586,0.16176731896962573,-0.11710755035901578,0.23006935300108403,0.1991294613800376,0.019774949468393966,0.040441829742406434,-0.029276887589753945,-0.6370807187215188,노출도-우세형,적정
경상남도,합천군,2.0821789384817513,0.45414508663443404,-0.37455257477322873,0.8966011686940879,0.7645931547592612,0.5205447346204378,0.11353627165860851,-0.09363814369330718,0.22415029217352198,0.5719031005642137,노출도-우세형,적정
경상북도,경산시,0.4767365416863021,-0.1683225269251228,0.12418918856074546,-0.19532249384974107,0.05932017736804591,0.11918413542157552,-0.0420806317312807,0.031047297140186364,-0.04883062346243527,0.19104330994449814,노출도-우세형,적정
경상북도,경주시,0.8943380103326471,-0.4951621882048362,-0.25274237859600235,0.42776797108862147,0.14355035365510752,0.2235845025831618,-0.12379054705120905,-0.06318559464900059,0.10694199277215537,3.7193977420719495,복합형,과다
경상북도,고령군,1.5270501106015206,0.45414508663443404,0.4314454709673165,0.35419771417331947,0.6917095955941477,0.38176252765038016,0.11353627165860851,0.10786136774182913,0.08854942854332987,-4.358836289553281,노출도-우세형,부족
경상북도,구미시,0.6030633286800833,0.38944594108091396,-0.41052073854686294,-0.3427169087280228,0.05981790562152789,0.15076583217002082,0.09736148527022849,-0.10263018463671573,-0.0856792271820057,5.475055740806033,노출도-우세형,과다
경상북도,김천시,-0.11652923006167877,-1.0105993155339605,0.546374781919826,-0.5457707754339579,-0.28163113477744284,-0.029132307515419693,-0.25264982888349014,0.1365936954799565,-0.13644269385848948,-3.295131688725614,복합형,적정
경상북도,문경시,0.41370687218110763,-0.1902215023781569,0.43515849032016424,-0.8106088759505056,-0.03799125395684765,0.10342671804527691,-0.04755537559453923,0.10878962258004106,-0.2026522189876264,-2.729701889912602,노출도-우세형,적정
경상북도,봉화군,2.2549482900973024,-0.8683754273711947,-1.3326134009942376,0.3000059473726906,0.08849135227614018,0.5637370725243256,-0.21709385684279867,-0.3331533502485594,0.07500148684317265,1.8961136093391202,노출도-우세형,적정
경상북도,상주시,0.15983763886767616,0.12391397556740685,0.5318522889998332,-0.5068272325205413,0.07719416772859373,0.03995940971691904,0.030978493891851713,0.1329630722499583,-0.12670680813013532,-3.972066546512808,노출도-우세형,부족
경상북도,성주군,0.7033511178517843,0.38944594108091396,-1.0001404732747745,-0.13268634853968644,-0.010007440720440665,0.17583777946294607,0.09736148527022849,-0.2500351183186936,-0.03317158713492161,-4.565695999830684,노출도-우세형,부족
경상북도,안동시,2.1454944925564954,-0.3740252374206577,-0.057664379023534974,0.10895683317139843,0.4556904273209253,0.5363736231391238,-0.09350630935516442,-0.014416094755883744,0.027239208292849607,1.0886144305223366,노출도-우세형,적정
경상북도,영덕군,1.7965092233078448,-0.6588846634969143,-0.015317621879708606,0.5263577188248553,0.4121661641890193,0.4491273058269612,-0.16472116587422858,-0.0038294054699271516,0.13158942970621382,0.7593613568805564,노출도-우세형,적정
경상북도,영양군,1.9012346109028568,-0.6588846634969143,0.5386194343623315,0.10579294787343672,0.47169058241042766,0.4753086527257142,-0.16472116587422858,0.13465485859058288,0.02644823696835918,-4.942083110369291,노출도-우세형,부족
경상북도,영주시,0.9541857535803878,-0.767512324188039,0.5380923396445955,-0.7148508391495941,0.00247873247183752,0.23854643839509695,-0.19187808104700976,0.13452308491114887,-0.17871270978739853,-3.8630562875846914,노출도-우세형,적정
경상북도,영천시,1.1960345059946635,-0.3269669378746403,-2.0683477277120628,0.20004121955036622,-0.24980973501041837,0.2990086264986659,-0.08174173446866008,-0.5170869319280157,0.050010304887591554,3.0651465637049657,노출도-우세형,적정
경상북도,예천군,0.4040940343110408,-0.1902215023781569,-1.2510026191203958,-0.7668020418954463,-0.45098303227073955,0.1010235085777602,-0.04755537559453923,-0.31275065478009895,-0.19170051047386158,2.2813847612790807,노출도-우세형,적정
