연도,시도,시군구,국비지원액_최종_원,log_국비지원액_최종_원,산림면적당_국비지원액_최종(원per ha),log_국비지원액_최종_per_ha,log_국비지원액_직접방제_원,log_국비지원액_예찰진단_원,예찰진단_예산비중,국비비율_최종(%),국비비율_결측_flag,매칭사업수_최종,매칭사업_없음_flag,index_eligible
2016,경기도,파주시,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2017,경기도,파주시,133397000.0,18.70884020993372,19649.0,9.885832617297408,16.864214763704705,18.53676456787695,0.8419154853557427,52.37,0,3.0,0.0,1
2018,경기도,파주시,134038000.0,18.713633907263507,19749.5,9.890934086464508,18.332657957478737,17.56416723966343,0.3168056819707844,49.57,0,4.0,0.0,1
2019,경기도,파주시,146685000.0,18.80379799521395,21620.0,9.98142034359255,18.43632769937329,17.62457019450333,0.3075161059413028,41.97,0,6.0,0.0,1
2020,경기도,파주시,142286000.0,18.77334968155177,20978.1,9.951281983032048,18.379535791036663,17.651019643882517,0.3255204306818661,48.3,0,4.0,0.0,1
2021,경기도,파주시,149581000.0,18.823348616776535,22060.8,10.001602885126982,18.432125017722832,17.69563003502777,0.3237710671809922,17.48,0,6.0,0.0,1
2022,경기도,파주시,362261000.0,19.70787550723397,53444.2,10.886412108865889,19.40271802075944,18.372246526926233,0.2629927041552913,41.22,0,7.0,0.0,1
2023,경기도,파주시,203161000.0,19.129509331036193,29982.0,10.30838583336139,18.442363964569008,18.43032410690363,0.4969900719134086,23.74,0,5.0,0.0,1
2016,경기도,평택시,,,,,,,,,1,,,0
2017,경기도,평택시,,,,,,,,,1,,,0
2018,경기도,평택시,,,,,,,,,1,,,0
2019,경기도,평택시,,,,,,,,,1,,,0
2020,경기도,평택시,,,,,,,,,1,,,0
2021,경기도,평택시,,,,,,,,,1,,,0
2022,경기도,평택시,,,,,,,,,1,,,0
2023,경기도,평택시,,,,,,,,,1,,,0
2016,경기도,포천시,,,,,,,,,1,,,0
2017,경기도,포천시,,,,,,,,,1,,,0
