연도,시도,시군구,sigungu_cd,stnId,거리_km,겨울철_평균최저기온,여름철_평균기온,연강수량_mm,평균풍속_ms,GDD_솔수염하늘소_base11.9,GDD_북방수염하늘소_base8.3,SPI3_최저월(최심가뭄),SPI3_유효월수,연간관측일수,겨울철_자료완전성
2016,강원특별자치도,춘천시,51110,101,1.47,-7.04,25.08,1333.8,1.33,1978.4,2774.0,-1.5,11.0,366,True
2017,강원특별자치도,춘천시,51110,101,1.47,-6.74,24.64,1217.2,1.35,1843.2,2610.6,-1.87,12.0,365,True
2018,강원특별자치도,춘천시,51110,101,1.47,-9.62,25.72,1401.5,1.48,1845.2,2607.6,-1.16,12.0,365,True
2019,강원특별자치도,춘천시,51110,101,1.47,-7.9,24.65,923.2,1.33,1885.8,2633.1,-1.62,12.0,365,True
2020,강원특별자치도,춘천시,51110,101,1.47,-4.18,24.71,1550.9,1.38,1737.8,2484.8,-1.4,12.0,366,True
2021,강원특별자치도,춘천시,51110,101,1.47,-7.9,24.82,1045.9,1.39,1874.5,2668.1,-2.05,12.0,365,True
2022,강원특별자치도,춘천시,51110,101,1.47,-8.68,24.82,1728.4,1.38,1851.8,2637.1,-1.63,12.0,365,True
2023,강원특별자치도,춘천시,51110,101,1.47,-8.44,24.83,1389.8,1.45,1880.6,2675.6,-0.81,12.0,365,True
2016,강원특별자치도,태백시,51190,216,0.86,-7.49,21.11,1141.4,1.56,1240.2,1942.8,-1.81,11.0,366,True
2017,강원특별자치도,태백시,51190,216,0.86,-7.56,20.38,933.8,1.55,1120.0,1801.6,-2.23,12.0,365,True
2018,강원특별자치도,태백시,51190,216,0.86,-9.77,21.95,1489.3,1.57,1266.6,1925.4,-1.41,12.0,365,True
2019,강원특별자치도,태백시,51190,216,0.86,-7.77,20.69,1169.8,1.47,1232.8,1903.8,-1.05,12.0,365,True
2020,강원특별자치도,태백시,51190,216,0.86,-5.57,20.92,1530.1,1.46,1149.6,1791.1,-1.91,12.0,366,True
2021,강원특별자치도,태백시,51190,216,0.86,-7.14,20.18,1207.4,1.38,1120.2,1774.0,-1.13,12.0,365,True
2022,강원특별자치도,태백시,51190,216,0.86,-9.16,20.97,1088.9,1.35,1212.2,1866.7,-1.67,12.0,365,True
2023,강원특별자치도,태백시,51190,216,0.86,-9.11,21.66,1525.8,1.31,1291.3,1986.8,-1.51,12.0,365,True
2016,강원특별자치도,평창군,51760,100,24.67,-9.31,19.29,1184.0,3.36,948.6,1592.1,-1.3,11.0,366,True
2017,강원특별자치도,평창군,51760,100,24.67,-10.21,18.89,1025.3,3.48,861.6,1471.2,-1.73,12.0,365,True
2018,강원특별자치도,평창군,51760,100,24.67,-12.61,19.88,1731.4,3.51,937.0,1503.8,-0.75,12.0,365,True
2019,강원특별자치도,평창군,51760,100,24.67,-10.73,19.18,1198.5,2.89,942.6,1549.6,-1.09,12.0,365,True
2020,강원특별자치도,평창군,51760,100,24.67,-8.0,19.59,1755.8,3.05,902.6,1477.4,-2.32,12.0,366,True
2021,강원특별자치도,평창군,51760,100,24.67,-10.5,19.3,1027.3,2.99,930.4,1526.9,-1.18,12.0,365,True
2022,강원특별자치도,평창군,51760,100,24.67,-11.39,19.71,1361.2,3.09,995.7,1583.6,-1.28,12.0,365,True
2023,강원특별자치도,평창군,51760,100,24.67,-11.64,20.44,1291.8,2.96,1078.1,1700.0,-1.67,12.0,365,True
2016,강원특별자치도,홍천군,51720,212,18.4,-7.11,24.99,967.9,1.17,1997.0,2792.5,-1.76,11.0,366,True
2017,강원특별자치도,홍천군,51720,212,18.4,-7.36,24.27,1192.2,1.17,1803.3,2567.0,-1.77,12.0,365,True
2018,강원특별자치도,홍천군,51720,212,18.4,-10.15,25.5,1348.6,1.22,1819.2,2569.5,-1.04,12.0,365,True
2019,강원특별자치도,홍천군,51720,212,18.4,-8.01,24.47,871.4,1.15,1885.6,2638.5,-1.86,12.0,365,True
2020,강원특별자치도,홍천군,51720,212,18.4,-4.48,23.87,1485.8,1.15,1623.6,2354.5,-1.92,12.0,366,True
2021,강원특별자치도,홍천군,51720,212,18.4,-8.06,23.92,950.3,1.1,1740.4,2507.8,-1.79,12.0,365,True
2022,강원특별자치도,홍천군,51720,212,18.4,-8.63,23.94,1707.7,1.01,1715.0,2477.3,-1.43,12.0,365,True
2023,강원특별자치도,홍천군,51720,212,18.4,-8.63,24.51,1392.4,0.9,1863.0,2663.8,-1.37,12.0,365,True
2016,강원특별자치도,화천군,51790,93,22.09,,,208.4,0.88,110.0,229.6,1.23,1.0,92,False
2017,강원특별자치도,화천군,51790,93,22.09,-7.66,24.36,1133.4,1.28,1793.2,2552.8,-2.05,12.0,365,True
2018,강원특별자치도,화천군,51790,93,22.09,-10.82,25.3,1261.9,1.35,1765.7,2515.0,-1.35,12.0,365,True
2019,강원특별자치도,화천군,51790,93,22.09,-8.85,24.04,931.8,1.16,1764.0,2492.9,-1.48,12.0,365,True
2020,강원특별자치도,화천군,51790,93,22.09,-5.43,24.13,1561.4,1.26,1617.9,2323.6,-1.56,12.0,366,True
2021,강원특별자치도,화천군,51790,93,22.09,-9.17,24.2,1065.2,1.19,1741.8,2485.3,-1.77,12.0,365,True
2022,강원특별자치도,화천군,51790,93,22.09,-9.83,24.14,1590.8,1.2,1709.0,2454.4,-1.57,12.0,365,True
2023,강원특별자치도,화천군,51790,93,22.09,-9.78,24.85,1366.8,1.13,1859.8,2642.4,-0.86,12.0,365,True
2016,강원특별자치도,횡성군,51730,114,22.29,-4.26,25.47,874.6,1.07,2064.8,2890.4,-2.01,11.0,366,True
2017,강원특별자치도,횡성군,51730,114,22.29,-5.08,24.03,1063.6,1.0,1784.4,2561.2,-2.28,12.0,365,True
2018,강원특별자치도,횡성군,51730,114,22.29,-6.95,25.88,1229.2,1.06,1895.6,2677.0,-0.88,12.0,365,True
2019,강원특별자치도,횡성군,51730,114,22.29,-5.28,24.52,771.9,1.0,1875.1,2648.7,-2.14,12.0,365,True
2020,강원특별자치도,횡성군,51730,114,22.29,-2.56,24.63,1317.0,1.06,1753.8,2526.0,-2.25,12.0,366,True
2021,강원특별자치도,횡성군,51730,114,22.29,-5.73,24.55,1113.0,1.04,1837.9,2646.0,-1.61,12.0,365,True
2022,강원특별자치도,횡성군,51730,114,22.29,-5.96,24.73,1394.0,1.06,1856.5,2656.6,-1.41,12.0,365,True
2023,강원특별자치도,횡성군,51730,114,22.29,-6.27,25.23,1391.7,0.99,2006.9,2839.2,-2.05,12.0,365,True
2016,경기도,가평군,41820,101,26.75,-7.04,25.08,1333.8,1.33,1978.4,2774.0,-1.5,11.0,366,True
2017,경기도,가평군,41820,101,26.75,-6.74,24.64,1217.2,1.35,1843.2,2610.6,-1.87,12.0,365,True
2018,경기도,가평군,41820,101,26.75,-9.62,25.72,1401.5,1.48,1845.2,2607.6,-1.16,12.0,365,True
2019,경기도,가평군,41820,101,26.75,-7.9,24.65,923.2,1.33,1885.8,2633.1,-1.62,12.0,365,True
2020,경기도,가평군,41820,101,26.75,-4.18,24.71,1550.9,1.38,1737.8,2484.8,-1.4,12.0,366,True
2021,경기도,가평군,41820,101,26.75,-7.9,24.82,1045.9,1.39,1874.5,2668.1,-2.05,12.0,365,True
2022,경기도,가평군,41820,101,26.75,-8.68,24.82,1728.4,1.38,1851.8,2637.1,-1.63,12.0,365,True
2023,경기도,가평군,41820,101,26.75,-8.44,24.83,1389.8,1.45,1880.6,2675.6,-0.81,12.0,365,True
2016,경기도,고양시 덕양구,41281,108,12.13,-4.34,25.97,991.7,2.28,2199.9,3030.6,-1.7,11.0,366,True
2017,경기도,고양시 덕양구,41281,108,12.13,-4.39,25.39,1233.2,2.21,2100.6,2899.3,-1.85,12.0,365,True
2018,경기도,고양시 덕양구,41281,108,12.13,-6.33,26.6,1284.1,1.73,2069.6,2878.0,-1.33,12.0,365,True
2019,경기도,고양시 덕양구,41281,108,12.13,-4.36,25.22,891.3,1.95,2062.6,2861.8,-2.16,12.0,365,True
2020,경기도,고양시 덕양구,41281,108,12.13,-1.88,24.86,1651.1,2.36,1872.2,2684.3,-1.16,12.0,366,True
2021,경기도,고양시 덕양구,41281,108,12.13,-4.48,25.63,1186.5,2.31,2045.2,2899.6,-1.12,12.0,365,True
2022,경기도,고양시 덕양구,41281,108,12.13,-5.02,25.48,1775.3,2.37,2058.6,2907.0,-1.54,12.0,365,True
2023,경기도,고양시 덕양구,41281,108,12.13,-4.8,25.78,1598.8,2.27,2196.9,3040.7,-0.76,12.0,365,True
2016,경기도,고양시 일산동구,41285,108,19.08,-4.34,25.97,991.7,2.28,2199.9,3030.6,-1.7,11.0,366,True
2017,경기도,고양시 일산동구,41285,108,19.08,-4.39,25.39,1233.2,2.21,2100.6,2899.3,-1.85,12.0,365,True
2018,경기도,고양시 일산동구,41285,108,19.08,-6.33,26.6,1284.1,1.73,2069.6,2878.0,-1.33,12.0,365,True
2019,경기도,고양시 일산동구,41285,108,19.08,-4.36,25.22,891.3,1.95,2062.6,2861.8,-2.16,12.0,365,True
2020,경기도,고양시 일산동구,41285,108,19.08,-1.88,24.86,1651.1,2.36,1872.2,2684.3,-1.16,12.0,366,True
2021,경기도,고양시 일산동구,41285,108,19.08,-4.48,25.63,1186.5,2.31,2045.2,2899.6,-1.12,12.0,365,True
2022,경기도,고양시 일산동구,41285,108,19.08,-5.02,25.48,1775.3,2.37,2058.6,2907.0,-1.54,12.0,365,True
2023,경기도,고양시 일산동구,41285,108,19.08,-4.8,25.78,1598.8,2.27,2196.9,3040.7,-0.76,12.0,365,True
2016,경기도,고양시 일산서구,41287,99,23.08,-7.92,23.98,1163.9,1.55,1832.4,2623.2,-1.02,11.0,366,True
2017,경기도,고양시 일산서구,41287,99,23.08,-8.18,23.32,947.8,1.43,1644.0,2382.3,-2.27,12.0,365,True
2018,경기도,고양시 일산서구,41287,99,23.08,-11.46,24.29,1009.5,1.49,1659.2,2390.8,-1.73,12.0,365,True
2019,경기도,고양시 일산서구,41287,99,23.08,-9.37,23.41,1022.4,1.31,1654.3,2372.6,-1.63,12.0,365,True
2020,경기도,고양시 일산서구,41287,99,23.08,-5.32,23.29,1612.3,1.4,1553.0,2253.0,-1.25,12.0,366,True
2021,경기도,고양시 일산서구,41287,99,23.08,-8.97,23.79,1037.9,1.39,1709.0,2458.8,-1.56,12.0,365,True
2022,경기도,고양시 일산서구,41287,99,23.08,-10.23,23.58,1730.5,1.26,1623.8,2368.8,-1.52,12.0,365,True
2023,경기도,고양시 일산서구,41287,99,23.08,-9.55,23.98,1438.0,1.29,1786.3,2557.2,-0.78,12.0,365,True
2016,경기도,과천시,41290,108,15.65,-4.34,25.97,991.7,2.28,2199.9,3030.6,-1.7,11.0,366,True
2017,경기도,과천시,41290,108,15.65,-4.39,25.39,1233.2,2.21,2100.6,2899.3,-1.85,12.0,365,True
2018,경기도,과천시,41290,108,15.65,-6.33,26.6,1284.1,1.73,2069.6,2878.0,-1.33,12.0,365,True
2019,경기도,과천시,41290,108,15.65,-4.36,25.22,891.3,1.95,2062.6,2861.8,-2.16,12.0,365,True
2020,경기도,과천시,41290,108,15.65,-1.88,24.86,1651.1,2.36,1872.2,2684.3,-1.16,12.0,366,True
2021,경기도,과천시,41290,108,15.65,-4.48,25.63,1186.5,2.31,2045.2,2899.6,-1.12,12.0,365,True
2022,경기도,과천시,41290,108,15.65,-5.02,25.48,1775.3,2.37,2058.6,2907.0,-1.54,12.0,365,True
2023,경기도,과천시,41290,108,15.65,-4.8,25.78,1598.8,2.27,2196.9,3040.7,-0.76,12.0,365,True
2016,경기도,광명시,41210,108,16.63,-4.34,25.97,991.7,2.28,2199.9,3030.6,-1.7,11.0,366,True
2017,경기도,광명시,41210,108,16.63,-4.39,25.39,1233.2,2.21,2100.6,2899.3,-1.85,12.0,365,True
2018,경기도,광명시,41210,108,16.63,-6.33,26.6,1284.1,1.73,2069.6,2878.0,-1.33,12.0,365,True
2019,경기도,광명시,41210,108,16.63,-4.36,25.22,891.3,1.95,2062.6,2861.8,-2.16,12.0,365,True
2020,경기도,광명시,41210,108,16.63,-1.88,24.86,1651.1,2.36,1872.2,2684.3,-1.16,12.0,366,True
2021,경기도,광명시,41210,108,16.63,-4.48,25.63,1186.5,2.31,2045.2,2899.6,-1.12,12.0,365,True
2022,경기도,광명시,41210,108,16.63,-5.02,25.48,1775.3,2.37,2058.6,2907.0,-1.54,12.0,365,True
2023,경기도,광명시,41210,108,16.63,-4.8,25.78,1598.8,2.27,2196.9,3040.7,-0.76,12.0,365,True
2016,경기도,광주시,41610,202,19.55,-5.89,25.33,935.9,1.46,2051.0,2863.0,-1.63,11.0,366,True
2017,경기도,광주시,41610,202,19.55,-6.11,24.63,1188.4,1.57,1886.4,2662.2,-1.88,12.0,365,True
2018,경기도,광주시,41610,202,19.55,-8.26,26.06,1355.4,1.52,1917.8,2698.1,-1.02,12.0,365,True
2019,경기도,광주시,41610,202,19.55,-6.74,24.82,1038.6,1.43,1913.2,2679.4,-1.65,12.0,365,True
2020,경기도,광주시,41610,202,19.55,-3.1,24.17,1366.4,1.33,1703.1,2464.6,-1.93,12.0,366,True
2021,경기도,광주시,41610,202,19.55,-6.15,24.33,1018.9,1.28,1820.8,2633.1,-1.49,12.0,365,True
2022,경기도,광주시,41610,202,19.55,-6.47,24.4,2143.4,1.25,1825.0,2628.5,-1.61,12.0,365,True
2023,경기도,광주시,41610,202,19.55,-6.7,24.94,1538.4,1.18,1959.0,2785.8,-1.1,12.0,365,True
2016,경기도,구리시,41310,108,14.93,-4.34,25.97,991.7,2.28,2199.9,3030.6,-1.7,11.0,366,True
2017,경기도,구리시,41310,108,14.93,-4.39,25.39,1233.2,2.21,2100.6,2899.3,-1.85,12.0,365,True
2018,경기도,구리시,41310,108,14.93,-6.33,26.6,1284.1,1.73,2069.6,2878.0,-1.33,12.0,365,True
2019,경기도,구리시,41310,108,14.93,-4.36,25.22,891.3,1.95,2062.6,2861.8,-2.16,12.0,365,True
2020,경기도,구리시,41310,108,14.93,-1.88,24.86,1651.1,2.36,1872.2,2684.3,-1.16,12.0,366,True
2021,경기도,구리시,41310,108,14.93,-4.48,25.63,1186.5,2.31,2045.2,2899.6,-1.12,12.0,365,True
