연도,시도,시군구,log_피해밀도_본per_ha,log_인접시군_피해밀도_본per_ha,연속발생연수,집단발생여부,소나무류_면적비율(%),최근감염목과의_거리_km,데이터유형,인접시군_산정방식,임상도_기준판
2016,강원도,횡성군,0.0025966258472659,0.0557184887563437,1,0,19.5548,239.4,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,강원도,횡성군,9.999500033330834e-05,0.0037927982386962,2,0,19.5548,472.27,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,강원도,횡성군,0.0,0.00329456694943,3,0,19.5548,472.27,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,강원도,횡성군,0.0001999800026662,0.0092570212626767,4,0,19.5548,239.4,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,강원도,횡성군,0.0003999200213269,0.0150856374180408,5,0,19.222,239.4,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,강원도,횡성군,0.0006997551142733,0.0197045832743354,6,0,19.222,120.52,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,강원도,횡성군,0.0026963615477426,0.0024968801985871,7,0,19.222,231.98,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,강원도,횡성군,0.001998002662673,0.0423887664917866,8,0,19.222,239.4,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,경기도,가평군,0.0135083500247922,0.1587970117469975,1,1,17.2147,296.06,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,경기도,가평군,0.006379606964039,0.0395091330947124,2,1,17.2147,492.38,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,경기도,가평군,0.0009995003330835,0.0285874568519125,3,1,17.2147,492.38,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,경기도,가평군,0.0016985566355814,0.0358496528936972,4,1,17.2147,296.06,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,경기도,가평군,0.009058844488346,0.0836055838547969,5,1,16.5608,296.06,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,경기도,가평군,0.0029955089797984,0.0444952398865512,6,1,16.5608,181.1,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,경기도,가평군,0.0051865266873,0.0854434818174674,7,1,16.5608,283.83,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,경기도,가평군,0.0102473164515495,0.1222176327242492,8,1,16.5608,296.06,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,경기도,고양시,0.0,0.0003999200213269,0,0,1.4885,315.36,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,경기도,고양시,0.0,9.999500033330834e-05,0,0,1.4885,469.1,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,경기도,고양시,0.0,0.0001999800026662,0,0,1.4885,469.1,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,경기도,고양시,0.0,9.999500033330834e-05,0,0,1.4885,315.36,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,경기도,고양시,0.0,0.0,0,0,1.549,315.36,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,경기도,고양시,0.0,9.999500033330834e-05,0,0,1.549,210.42,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,경기도,고양시,0.0,0.0,0,0,1.549,297.1,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,경기도,고양시,0.0,0.0002999550089979,0,0,1.549,315.36,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,경기도,과천시,0.0,0.0291703772997798,0,0,6.2349,286.63,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,경기도,과천시,0.0,0.0218593343528935,0,0,6.2349,444.69,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,경기도,과천시,0.0,0.01911611719223,0,0,6.2349,444.69,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,경기도,과천시,0.0,0.0130149370774946,0,0,6.2349,286.63,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,경기도,과천시,0.0,0.0128175037106144,0,0,6.3922,286.63,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,경기도,과천시,0.0,0.0002999550089979,0,0,6.3922,184.32,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,경기도,과천시,0.0,0.0,0,0,6.3922,267.8,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,경기도,과천시,0.0,0.0221528046411333,0,0,6.3922,286.63,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,경기도,광명시,0.0,0.0,0,0,1.1044,296.09,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,경기도,광명시,0.0,0.0,0,0,1.1044,444.91,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,경기도,광명시,0.0,0.0,0,0,1.1044,444.91,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,경기도,광명시,0.0,0.0,0,0,1.1044,296.09,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,경기도,광명시,0.0,0.0,0,0,1.2396,296.09,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,경기도,광명시,0.0,0.0,0,0,1.2396,195.55,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,경기도,광명시,0.0,0.0,0,0,1.2396,276.34,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,경기도,광명시,0.0,0.0,0,0,1.2396,296.09,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,경기도,광주시,0.8522854018982426,0.1187603357208428,1,1,4.4413,266.47,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,경기도,광주시,0.5824949104563504,0.0524026787930483,2,1,4.4413,444.74,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,경기도,광주시,0.4929874656361109,0.0320798934634116,3,1,4.4413,444.74,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,경기도,광주시,0.5183174895242862,0.0338215484755106,4,1,4.4413,266.47,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,경기도,광주시,0.4710031295788191,0.0535407669280298,5,1,4.2395,266.47,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
